A1-J	A
A1-J1	A
A1a-J	Aa
A1a-J1	Aa
C1-J	C
C1-J1	C
B1-J	B
B1-J1	B
E1-J	E
E1-J1	E
E1-J2	E
F1-J	F
F1-J1	F
F2-J	F
G1-J	G
G1-J1	G
G2-J	G
G2-J1	G
H1-J	H
H1-J1	H
H2-J	H
A1m-J	Am
A1m-J1	Am
A1am-J	Aam
A1am-J1	Aam
C1m-J	Cm
C1m-J1	Cm
B1m-J	Bm
B1m-J1	Bm
E1m-J	Em
E1m-J1	Em
E1m-J2	Em
F1m-J	Fm
F1m-J1	Fm
F2m-J	Fm
G1m-J	Gm
G1m-J1	Gm
G2m-J	Gm
G2m-J1	Gm
H1m-J	Hm
H1m-J1	Hm
H2m-J	Hm
D1	D
D1m	Dm
A-I	A
A-I1	A
Aa-I	Aa
Aa-I1	Aa
Aam-I	Aam
Aam-I1	Aam
Am-I	Am
Am-I1	Am
B-I	B
B-I1	B
Bm-I	Bm
Bm-I1	Bm
C-I	C
C-I1	C
Cm-I	Cm
Cm-I1	Cm
E-I	E
E-I1	E
E-I2	E
Em-I	Em
Em-I1	Em
Em-I2	Em
F-I	F
F-I1	F
Fm-I	Fm
Fm-I1	Fm
G-I	G
G-I1	G
Gm-I	Gm
Gm-I1	Gm
H-I	H
H-I1	H
Hm-I	Hm
Hm-I1	Hm
