transcript,gene,gene_name
ENST00000262643,ENSG00000105173,CCNE1
ENST00000575243,ENSG00000105173,CCNE1
ENST00000444983,ENSG00000105173,CCNE1
ENST00000357943,ENSG00000105173,CCNE1
ENST00000586912,ENSG00000105173,CCNE1
ENST00000576532,ENSG00000105173,CCNE1
ENST00000574121,ENSG00000105173,CCNE1
ENST00000371384,ENSG00000124098,FAM210B
ENST00000437418,ENSG00000124098,FAM210B
ENST00000287218,ENSG00000156639,ZFAND3
ENST00000373391,ENSG00000156639,ZFAND3
ENST00000474522,ENSG00000156639,ZFAND3
ENST00000373389,ENSG00000156639,ZFAND3
ENST00000469208,ENSG00000156639,ZFAND3
ENST00000440482,ENSG00000156639,ZFAND3
ENST00000463847,ENSG00000156639,ZFAND3
ENST00000641851,ENSG00000179626,OR6C4
ENST00000641569,ENSG00000179626,OR6C4
ENST00000394256,ENSG00000179626,OR6C4
ENST00000324348,ENSG00000179859,RNF227
ENST00000635932,ENSG00000179859,RNF227
ENST00000640240,ENSG00000179859,RNF227
